"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2014",10,"D015656001",1.848828125
"2015",10,"D015656001",1.6671875
"2016",10,"D015656001",1.552734375
"2017",10,"D015656001",1.242578125
"2018",10,"D015656001",1.184375
"2019",10,"D015656001",1.189453125
"2020",10,"D015656001",1.0921875
"2021",10,"D015656001",1.307421875
"2022",10,"D015656001",1.144140625
"2023",10,"D015656001",1.24921875
"2024",10,"D015656001",1.53359375
"2009",10,"E490941401",NA
"2010",10,"E490941401",NA
"2011",10,"E490941401",NA
"2012",10,"E490941401",NA
"2013",10,"E490941401",NA
"2014",10,"E490941401",NA
"2015",10,"E490941401",NA
"2016",10,"E490941401",NA
"2017",10,"E490941401",NA
"2018",10,"E490941401",NA
"2019",10,"E490941401",NA
"2020",10,"E490941401",NA
"2021",10,"E490941401",NA
"2022",10,"E490941401",NA
"2023",10,"E490941401",NA
"2024",10,"E490941401",NA
"2011",10,"E400000101",NA
"2012",10,"E400000101",NA
"2013",10,"E400000101",NA
"2014",10,"E400000101",NA
"2015",10,"E400000101",NA
"2016",10,"E400000101",NA
"2017",10,"E400000101",NA
"2018",10,"E400000101",NA
"2019",10,"E400000101",NA
"2020",10,"E400000101",NA
"2023",10,"E400000101",NA
"2024",10,"E400000101",NA
"2014",10,"D015850401",NA
"2015",10,"D015850401",NA
"2016",10,"D015850401",NA
"2017",10,"D015850401",NA
"2018",10,"D015850401",NA
"2019",10,"D015850401",NA
